,province,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month
222,p1,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.5,152.34,a
223,p3,0,de,1.0,10.99,0.0,0,hc,1,1,2017,0.0,16.5,152.34,a
224,p4,0,gb,1.0,2.99,0.0,0,ye,1,1,2017,0.0,15.5,152.34,a
225,p2,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,17.0,152.34,a
226,p2,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,18.0,152.34,a
227,p2,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,11.5,152.34,a
228,p2,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a
229,p7,0,a,1.0,10.99,0.0,0,hc,1,1,2017,0.0,17.5,152.34,a
230,p3,0,d,1.0,20.99,0.0,0,other,0,1,2017,0.0,12.0,152.34,a
231,p4,1,g,1.0,0.0,0.0,0,gc,0,0,2017,0.0,18.0,152.34,a
232,p14,1,a,1.0,10.99,0.0,1,hc,1,0,2017,0.0,20.0,152.34,a
233,p1,1,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,14.0,152.34,a
234,p4,0,a,1.0,10.99,0.0,1,oe,1,0,2017,0.0,17.0,152.34,a
235,p1,0,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,18.5,152.34,a
236,p1,1,f,1.0,10.99,0.0,1,ce,1,0,2017,0.0,17.0,152.34,a
237,p1,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.25,12.5,152.34,a
238,p4,0,g,1.0,0.0,0.0,1,hc,0,0,2017,0.0,17.0,152.34,a
239,p2,0,d,1.0,10.99,0.0,0,gc,1,1,2017,13.75,14.5,152.34,a
240,p3,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,33.5,152.34,a
241,p2,1,f,0.0,10.99,0.0,0,gc,1,0,2017,0.0,19.0,152.34,a
242,p4,0,g,1.0,0.0,0.0,0,hc,0,0,2017,0.25,18.5,152.34,a
243,p3,0,de,1.0,10.99,0.0,1,hc,1,1,2017,12.5,12.5,152.34,a
244,p1,1,a,1.0,10.99,0.0,1,gc,1,1,2017,0.25,24.5,152.34,a
245,p1,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,13.5,152.34,a
246,p12,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.25,11.5,152.34,a
247,p1,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.25,40.5,152.34,a
248,p1,0,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,26.0,152.34,a
249,p11,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,13.0,152.34,a
250,p11,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.5,152.34,a
251,p1,0,s,1.0,10.99,0.0,1,hc,1,1,2017,0.0,12.5,152.34,a
252,p5,0,d,1.0,20.99,0.0,0,other,0,1,2017,1.75,18.0,152.34,a
253,p2,0,a,1.0,10.99,0.0,0,gc,1,0,2017,0.0,17.5,152.34,a
254,p2,1,ps,1.0,10.99,0.0,1,gc,1,1,2017,0.0,19.0,152.34,a
255,p1,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,12.0,152.34,a
256,p1,1,e,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a
257,p10,0,a,1.0,10.99,0.0,0,hc,1,0,2017,0.0,11.0,152.34,a
258,p12,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,11.0,152.34,a
259,p2,1,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a
260,p2,0,a,1.0,10.99,0.0,0,ye,1,0,2017,6.5,21.0,152.34,a
261,p2,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,14.5,152.34,a
262,p14,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,12.5,152.34,a
263,p7,0,de,1.0,10.99,0.0,0,gc,1,1,2017,0.0,12.5,152.34,a
264,p9,0,de,1.0,10.99,0.0,0,other,1,1,2017,32.0,18.0,152.34,a
265,p3,0,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,18.5,152.34,a
266,p6,0,a,1.0,10.99,0.0,1,hc,1,1,2017,0.0,18.0,152.34,a
267,p8,1,d,1.0,10.99,0.0,1,gc,1,1,2017,25.0,9.5,152.34,a
268,p3,1,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,19.5,152.34,a
269,p1,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,19.0,152.34,a
270,p8,0,de,1.0,10.99,0.0,0,gc,1,1,2017,0.75,14.0,152.34,a
271,p10,0,a,1.0,10.99,0.0,1,hc,1,0,2017,0.0,17.5,152.34,a
272,p5,0,ps,1.0,10.99,0.0,0,gc,1,1,2017,0.0,17.5,152.34,a
273,p1,1,a,1.0,10.99,0.0,1,hc,1,0,2017,0.0,17.5,152.34,a
274,p1,0,a,1.0,10.99,0.0,1,gc,1,1,2017,1.75,13.0,152.34,a
275,p12,0,a,1.0,10.99,0.0,1,gc,1,1,2017,0.0,16.5,152.34,a
276,p11,0,a,1.0,20.99,0.0,1,hc,0,0,2017,6.0,14.5,152.34,a
277,p8,0,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,16.0,152.34,a
278,p4,1,f,1.0,10.99,0.0,0,gc,1,1,2017,11.25,14.5,152.34,a
279,p6,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,17.5,152.34,a
280,p4,0,f,1.0,10.99,0.0,1,other,1,1,2017,0.0,19.0,152.34,a
281,p1,1,gb,1.0,2.99,0.0,0,hc,1,1,2017,0.25,11.5,152.34,a
282,p14,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,10.5,152.34,a
283,p1,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,15.0,152.34,a
284,p1,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,22.0,152.34,a
285,p2,1,f,1.0,10.99,0.0,0,gc,1,1,2017,0.0,11.0,152.34,a
286,p16,1,gb,1.0,2.99,0.0,1,hc,1,1,2017,2.0,34.5,152.34,a
287,p5,0,e,1.0,10.99,0.0,0,hc,1,1,2017,0.0,11.0,152.34,a
288,p5,0,de,1.0,10.99,0.0,1,hc,1,1,2017,0.0,16.0,152.34,a
289,p4,0,f,1.0,10.99,0.0,1,oe,1,0,2017,0.0,12.0,152.34,a
290,p2,1,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,14.5,152.34,a
