,sex,master_channel_a,master_channel_f,master_channel_d,master_channel_ps,master_channel_gb,master_channel_de,master_channel_g,master_channel_s,master_channel_e,master_channel_b,master_channel_dd,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain_gc,email_domain_hc,email_domain_yc,email_domain_he,email_domain_other,email_domain_ye,email_domain_lc,email_domain_mc,email_domain_ic,email_domain_ce,email_domain_oe,email_domain_ge,email_domain_oc,email_domain_ae,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month_a,reg_month_b,reg_month_c,reg_month_d,reg_month_e,reg_month_f,reg_month_g,reg_month_h,reg_month_i,reg_month_j,reg_month_k,reg_month_l,random,income_per_region,population_per_region
65,0,0,0,0,0,0,0,0,1,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,21.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,957,11589,8414240
66,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,15.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,645,11818,1493898
67,0,0,0,0,0,1,0,0,0,0,0,0,1,2.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,8.25,18.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,177,18707,6663394
68,0,1,0,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,13.25,13.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,210,11589,8414240
69,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,13.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,630,18707,6663394
70,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,27.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,826,11589,8414240
71,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,15.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,471,17102,7675217
72,1,0,1,0,0,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,0.0,19.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,799,11589,8414240
73,0,0,0,0,1,0,0,0,0,0,0,0,1,10.99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,10.0,152.34,1,0,0,0,0,0,0,0,0,0,0,0,942,11589,8414240
74,0,0,0,0,0,0,1,0,0,0,0,0,1,10.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017,0.0,16.5,152.34,1,0,0,0,0,0,0,0,0,0,0,0,210,13148,5003769
