,sex,master_channel,newsletter,registration_payment,use_pickup_point,churned_1_month,email_domain,with_promotion,is_lead,reg_year,days_from_first_click,age,box_satisfaction,reg_month,random,income_per_region,population_per_region
156,0,f,1.0,10.99,0.0,1,other,1,0,2017,0.0,20.5,152.34,a,985,11589,8414240
157,1,gb,1.0,2.99,0.0,1,hc,1,1,2017,1.5,24.5,152.34,a,899,18707,6663394
158,0,f,1.0,20.99,0.0,1,gc,0,0,2017,0.5,10.0,152.34,a,630,18707,6663394
159,0,e,1.0,10.99,0.0,0,hc,1,1,2017,6.0,15.5,152.34,a,636,11589,8414240
160,0,f,1.0,10.99,0.0,1,gc,1,1,2017,0.0,25.0,152.34,a,547,13148,5003769
161,0,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,15.0,152.34,a,234,11589,8414240
162,1,s,1.0,10.99,0.0,1,gc,1,1,2017,0.0,15.0,152.34,a,690,17102,7675217
163,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,12.5,152.34,a,364,18707,6663394
164,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.25,13.5,152.34,a,625,12401,2032863
165,1,f,1.0,10.99,0.0,1,gc,1,0,2017,0.0,10.0,152.34,a,929,17102,7675217
166,0,e,1.0,10.99,0.0,1,yc,1,1,2017,0.0,16.5,152.34,a,612,18707,6663394
167,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.0,17.5,152.34,a,752,14638,2399548
168,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.25,17.0,152.34,a,740,11310,1067710
169,1,ps,1.0,10.99,0.0,1,hc,1,1,2017,0.0,13.0,152.34,a,957,15251,316798
170,0,e,1.0,10.99,0.0,1,hc,1,1,2017,0.0,17.0,152.34,a,213,17102,7675217
171,1,gb,1.0,2.99,0.0,1,gc,1,1,2017,0.0,32.0,152.34,a,918,13148,5003769
172,0,s,1.0,10.99,0.0,0,gc,1,1,2017,0.25,11.5,152.34,a,887,15882,1319291
173,0,s,1.0,10.99,0.0,0,hc,1,1,2017,0.0,15.0,152.34,a,585,14638,2399548
174,0,g,1.0,0.0,0.0,0,other,0,1,2017,0.0,21.0,152.34,a,667,11310,1067710
175,1,f,1.0,10.99,0.0,1,hc,1,0,2017,0.0,13.5,152.34,a,12,11589,8414240
176,0,a,1.0,10.99,0.0,1,ye,1,1,2017,0.0,19.5,152.34,a,993,11818,1493898
177,0,e,1.0,10.99,1.0,0,hc,1,1,2017,0.0,17.5,152.34,a,124,17948,654214
178,0,f,1.0,10.99,0.0,0,hc,1,1,2017,0.25,19.0,152.34,a,455,17102,7675217
179,1,a,1.0,10.99,0.0,1,gc,1,0,2017,0.0,11.0,152.34,a,71,17102,7675217
180,0,e,1.0,10.99,0.0,0,gc,1,1,2017,0.0,12.5,152.34,a,63,13148,5003769
181,0,d,1.0,10.99,0.0,1,mc,1,1,2017,0.0,21.0,152.34,a,316,17102,7675217
182,0,f,1.0,10.99,0.0,1,lc,1,0,2017,0.0,15.0,152.34,a,526,19195,2207776
